Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,8.43329048161792,6.11368516942299,14.4347412879524,1.95912289917285,1.31253090783336
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,3.70999999999992,2.55000000000003,1.41999999999996,1.1100000000001,2.16999999999989
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,3.60016906640861,2.80001825165273,3.2999913838345,2.8,3.80000000983483
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,-5.34797718118854,-4.80267503725287,-1.76001032768896,-0.0635143126218196,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,-7.14299133491195,-1.79343560355176,4.01954183888284,-0.346260979839798,4.82198262651119
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,9.45157833146635,8.38645145563733,0.801760179229973,2.88535188297459,0.45360547903708
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,2.1999999991457,4.69999999861844,7.20000000328227,3.3,3.49999999999989
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,2.01818214420197,2.37956133560841,3.63272030319823,2.44004906206246,2.4998512224341
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,1.92867305613767,2.80799993211767,0.757314345720772,0.321250821811844,0.353471065680438
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,4.85433932383958,0.0659227678492726,2.20000018843571,5.79667839631929,2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,1.53877885334302,0.612902595753823,2.21731297852183,0.0220301965625538,1.02278610479254
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,4.33440708785902,2.10018410872759,3.5887045713562,5.41293824262871,4.48093515168384
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,5.57180227396866,6.46438388047517,6.52143507837333,6.01359606747025,6.06109305375391
