Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Time required to start a business (days),IC.REG.DURS,Afghanistan,AFG,7,7,7,5,7
Time required to start a business (days),IC.REG.DURS,Albania,ALB,7,6.5,5.5,5.5,5.5
Time required to start a business (days),IC.REG.DURS,Algeria,DZA,24,24,24,24,22
Time required to start a business (days),IC.REG.DURS,American Samoa,ASM,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Andorra,ADO,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Angola,AGO,66,66,66,66,66
Time required to start a business (days),IC.REG.DURS,Antigua and Barbuda,ATG,21,21,21,21,21
Time required to start a business (days),IC.REG.DURS,Argentina,ARG,25,25,25,25,25
Time required to start a business (days),IC.REG.DURS,Armenia,ARM,14,8,8,4,3
Time required to start a business (days),IC.REG.DURS,Aruba,ABW,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Australia,AUS,2.5,2.5,2.5,2.5,2.5
Time required to start a business (days),IC.REG.DURS,Austria,AUT,25,25,25,25,22
Time required to start a business (days),IC.REG.DURS,Azerbaijan,AZE,8,8,8,7,5
Time required to start a business (days),IC.REG.DURS,"Bahamas, The",BHS,23.5,23.5,23.5,23.5,23.5
Time required to start a business (days),IC.REG.DURS,Bahrain,BHR,9,9,9,9,9
Time required to start a business (days),IC.REG.DURS,Bangladesh,BGD,..,..,..,21.8,19.5
Time required to start a business (days),IC.REG.DURS,Barbados,BRB,..,18,18,18,18
Time required to start a business (days),IC.REG.DURS,Belarus,BLR,10,10,10,9,9
Time required to start a business (days),IC.REG.DURS,Belgium,BEL,4,4,4,4,4
Time required to start a business (days),IC.REG.DURS,Belize,BLZ,43,43,43,43,43
Time required to start a business (days),IC.REG.DURS,Benin,BEN,34,32,29,18,12
Time required to start a business (days),IC.REG.DURS,Bermuda,BMU,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Bhutan,BTN,46,35,35,30,15
Time required to start a business (days),IC.REG.DURS,Bolivia,BOL,50,50,50,50,50
Time required to start a business (days),IC.REG.DURS,Bosnia and Herzegovina,BIH,94,70,67,67,67
Time required to start a business (days),IC.REG.DURS,Botswana,BWA,59,40,40,41,48
Time required to start a business (days),IC.REG.DURS,Brazil,BRA,..,..,..,86.6,83.6
Time required to start a business (days),IC.REG.DURS,Brunei Darussalam,BRN,108,104,104,104,104
Time required to start a business (days),IC.REG.DURS,Bulgaria,BGR,18,18,18,18,18
Time required to start a business (days),IC.REG.DURS,Burkina Faso,BFA,14,13,13,13,13
Time required to start a business (days),IC.REG.DURS,Burundi,BDI,13,13,7,5,5
Time required to start a business (days),IC.REG.DURS,Cabo Verde,CPV,11,11,11,10,10
Time required to start a business (days),IC.REG.DURS,Cambodia,KHM,102,102,102,101,101
Time required to start a business (days),IC.REG.DURS,Cameroon,CMR,19,15,15,15,15
Time required to start a business (days),IC.REG.DURS,Canada,CAN,5.5,5.5,5.5,5.5,5.5
Time required to start a business (days),IC.REG.DURS,Cayman Islands,CYM,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Central African Republic,CAF,24,22,22,22,22
Time required to start a business (days),IC.REG.DURS,Chad,TCD,62,53,60,60,60
Time required to start a business (days),IC.REG.DURS,Channel Islands,CHI,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Chile,CHL,34.5,7.5,5.5,5.5,5.5
Time required to start a business (days),IC.REG.DURS,China,CHN,..,..,..,34.4,31.4
Time required to start a business (days),IC.REG.DURS,Colombia,COL,10,10,11,11,11
Time required to start a business (days),IC.REG.DURS,Comoros,COM,22,22,20,15,15
Time required to start a business (days),IC.REG.DURS,"Congo, Dem. Rep.",ZAR,84,65,58,31,16
Time required to start a business (days),IC.REG.DURS,"Congo, Rep.",COG,161,161,161,101,53
Time required to start a business (days),IC.REG.DURS,Costa Rica,CRI,59.5,59.5,59.5,24,24
Time required to start a business (days),IC.REG.DURS,Cote d'Ivoire,CIV,40,32,32,8,7
Time required to start a business (days),IC.REG.DURS,Croatia,HRV,15.5,15,15,15,15
Time required to start a business (days),IC.REG.DURS,Cuba,CUB,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Curacao,CUW,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Cyprus,CYP,8,8,8,8,8
Time required to start a business (days),IC.REG.DURS,Czech Republic,CZE,17,15.5,15.5,15.5,15.5
Time required to start a business (days),IC.REG.DURS,Denmark,DNK,5.5,5.5,5.5,5.5,5.5
Time required to start a business (days),IC.REG.DURS,Djibouti,DJI,37,37,37,17,14
Time required to start a business (days),IC.REG.DURS,Dominica,DMA,13,12,12,12,12
Time required to start a business (days),IC.REG.DURS,Dominican Republic,DOM,15,14.5,14.5,14.5,14.5
Time required to start a business (days),IC.REG.DURS,Ecuador,ECU,56,55.5,55.5,55.5,55.5
Time required to start a business (days),IC.REG.DURS,"Egypt, Arab Rep.",EGY,8,8,8,8,8
Time required to start a business (days),IC.REG.DURS,El Salvador,SLV,16.5,16.5,16.5,16.5,16.5
Time required to start a business (days),IC.REG.DURS,Equatorial Guinea,GNQ,155,133,154,135,135
Time required to start a business (days),IC.REG.DURS,Eritrea,ERI,84,84,84,84,84
Time required to start a business (days),IC.REG.DURS,Estonia,EST,6.5,6.5,6.5,6.5,4.5
Time required to start a business (days),IC.REG.DURS,Ethiopia,ETH,20,20,20,19,19
Time required to start a business (days),IC.REG.DURS,Faroe Islands,FRO,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Fiji,FJI,44,44,58,58,58
Time required to start a business (days),IC.REG.DURS,Finland,FIN,14,14,14,14,14
Time required to start a business (days),IC.REG.DURS,France,FRA,6.5,6.5,6.5,6.5,4.5
Time required to start a business (days),IC.REG.DURS,French Polynesia,PYF,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Gabon,GAB,57,57,57,50,50
Time required to start a business (days),IC.REG.DURS,"Gambia, The",GMB,27,27,27,27,26
Time required to start a business (days),IC.REG.DURS,Georgia,GEO,3,2,2,2,2
Time required to start a business (days),IC.REG.DURS,Germany,DEU,14.5,14.5,14.5,14.5,14.5
Time required to start a business (days),IC.REG.DURS,Ghana,GHA,11,11,11,14,14
Time required to start a business (days),IC.REG.DURS,Greece,GRC,19,11,11,14,13
Time required to start a business (days),IC.REG.DURS,Greenland,GRL,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Grenada,GRD,14,14,14,15,15
Time required to start a business (days),IC.REG.DURS,Guam,GUM,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Guatemala,GTM,37,37,40,19.5,18.5
Time required to start a business (days),IC.REG.DURS,Guinea,GIN,40,40,35,16,8
Time required to start a business (days),IC.REG.DURS,Guinea-Bissau,GNB,216,9,9,9,9
Time required to start a business (days),IC.REG.DURS,Guyana,GUY,23,19,18,18,18
Time required to start a business (days),IC.REG.DURS,Haiti,HTI,134,134,134,97,97
Time required to start a business (days),IC.REG.DURS,Honduras,HND,14,14,14,14,14
Time required to start a business (days),IC.REG.DURS,"Hong Kong SAR, China",HKG,6,2.5,2.5,2.5,2.5
Time required to start a business (days),IC.REG.DURS,Hungary,HUN,4,4,5,5,5
Time required to start a business (days),IC.REG.DURS,Iceland,ISL,5,4.5,4.5,4.5,4
Time required to start a business (days),IC.REG.DURS,India,IND,..,..,..,31.7,34
Time required to start a business (days),IC.REG.DURS,Indonesia,IDN,..,..,..,75.5,52.5
Time required to start a business (days),IC.REG.DURS,"Iran, Islamic Rep.",IRN,13,13,18,18,15
Time required to start a business (days),IC.REG.DURS,Iraq,IRQ,32,32,29,29,29
Time required to start a business (days),IC.REG.DURS,Ireland,IRL,13,13,10,10,6
Time required to start a business (days),IC.REG.DURS,Isle of Man,IMY,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Israel,ISR,19,19,20,13,13
Time required to start a business (days),IC.REG.DURS,Italy,ITA,6,6,7,7,6
Time required to start a business (days),IC.REG.DURS,Jamaica,JAM,8,7,7,6,15
Time required to start a business (days),IC.REG.DURS,Japan,JPN,..,..,..,10.7,10.2
Time required to start a business (days),IC.REG.DURS,Jordan,JOR,12,12,12,12,12
Time required to start a business (days),IC.REG.DURS,Kazakhstan,KAZ,19,19,19,12,10
Time required to start a business (days),IC.REG.DURS,Kenya,KEN,31,33,32,32,30
Time required to start a business (days),IC.REG.DURS,Kiribati,KIR,31,31,31,31,31
Time required to start a business (days),IC.REG.DURS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,"Korea, Rep.",KOR,14,7,4,4,4
Time required to start a business (days),IC.REG.DURS,Kosovo,KSV,58,58,52,30,11
Time required to start a business (days),IC.REG.DURS,Kuwait,KWT,35,32,32,32,31
Time required to start a business (days),IC.REG.DURS,Kyrgyz Republic,KGZ,14,14,14,10,10
Time required to start a business (days),IC.REG.DURS,Lao PDR,LAO,63,63,73,73,73
Time required to start a business (days),IC.REG.DURS,Latvia,LVA,15.5,15.5,15.5,12.5,12.5
Time required to start a business (days),IC.REG.DURS,Lebanon,LBN,15,15,15,15,15
Time required to start a business (days),IC.REG.DURS,Lesotho,LSO,39,39,29,29,29
Time required to start a business (days),IC.REG.DURS,Liberia,LBR,20,5.5,5.5,4.5,4.5
Time required to start a business (days),IC.REG.DURS,Libya,LBY,..,..,35,35,35
Time required to start a business (days),IC.REG.DURS,Liechtenstein,LIE,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,Lithuania,LTU,22,22,19.5,6.5,3.5
Time required to start a business (days),IC.REG.DURS,Luxembourg,LUX,17.5,17.5,17.5,18.5,18.5
Time required to start a business (days),IC.REG.DURS,"Macao SAR, China",MAC,..,..,..,..,..
Time required to start a business (days),IC.REG.DURS,"Macedonia, FYR",MKD,3,3,2,2,2
Time required to start a business (days),IC.REG.DURS,Madagascar,MDG,12,12,12,12,12
Time required to start a business (days),IC.REG.DURS,Malawi,MWI,36,36,37,40,38
Time required to start a business (days),IC.REG.DURS,Malaysia,MYS,17,5,6,6,4
Time required to start a business (days),IC.REG.DURS,Maldives,MDV,9,9,9,9,9
Time required to start a business (days),IC.REG.DURS,Mali,MLI,8,8,8,11,11
Time required to start a business (days),IC.REG.DURS,Malta,MLT,..,38.5,38.5,38.5,33.5
Time required to start a business (days),IC.REG.DURS,Marshall Islands,MHL,17,17,17,17,17
Time required to start a business (days),IC.REG.DURS,Mauritania,MRT,19,19,19,19,9
Time required to start a business (days),IC.REG.DURS,Mauritius,MUS,6,6,6,6,6
Time required to start a business (days),IC.REG.DURS,Mexico,MEX,..,..,..,6.3,6.3
Time required to start a business (days),IC.REG.DURS,"Micronesia, Fed. Sts.",FSM,16,16,16,16,16
