Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Afghanistan,AFG,36.3,36.3,36.3,35.8,36.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Albania,ALB,40.3,38.3,38.5,31.5,31.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Algeria,DZA,73,73,72.8,72.7,72.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,American Samoa,ASM,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Andorra,ADO,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Angola,AGO,52.1,52.1,52.1,52,52
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Antigua and Barbuda,ATG,41,41,41,40.9,41.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Argentina,ARG,107.4,107.4,107.5,119.4,137.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Armenia,ARM,38.6,38.8,38.8,35.9,20.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Aruba,ABW,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Australia,AUS,47.6,47.3,47.2,47.3,47.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Austria,AUT,51.3,50.8,52.3,51.9,51.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Azerbaijan,AZE,40.9,40,40,39.8,39.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Bahamas, The",BHS,42.9,44.6,44.6,48.5,41.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Bahrain,BHR,13.5,13.5,13.5,13.5,13.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Bangladesh,BGD,..,..,..,32.5,32.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Barbados,BRB,..,35,34.7,34.6,34.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Belarus,BLR,80.5,62.3,58.5,52,51.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Belgium,BEL,57.3,57.7,58.2,58,58.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Belize,BLZ,33.2,33.2,33.2,31.1,31.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Benin,BEN,65.2,65.2,65.2,63.3,63.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Bermuda,BMU,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Bhutan,BTN,37.3,37.3,37.3,35.3,35.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Bolivia,BOL,80,80,83.4,83.7,83.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Bosnia and Herzegovina,BIH,22.2,23.6,23.6,22.2,23.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Botswana,BWA,19.5,19.5,25.4,25.3,25.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Brazil,BRA,..,..,..,69.2,69.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Brunei Darussalam,BRN,15.7,16.7,15.4,15.8,15.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Bulgaria,BGR,28,27.2,27.8,27,27
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Burkina Faso,BFA,44.8,42.7,42.7,41.3,41.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Burundi,BDI,154.9,46.5,46.5,45.2,40.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Cabo Verde,CPV,37.5,37.9,37.2,36.5,36.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Cambodia,KHM,22.6,22.6,22.6,21,21
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Cameroon,CMR,48.8,48.8,48.8,48.8,48.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Canada,CAN,22,20.7,20.1,19.9,21.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Cayman Islands,CYM,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Central African Republic,CAF,203.8,54.6,67.4,73.3,73.3
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Chad,TCD,75.8,75.8,75.7,72.4,63.5
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Channel Islands,CHI,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Chile,CHL,24.5,24.5,27.7,27.7,27.9
